DrugID,Drug_Target
DB00114,3067
DB00117,3067
DB00142,27165
DB01839,2162
DB02340,2162
DB00125,4843
DB00155,4843
DB01110,4843
DB01234,4843
DB01686,4843
DB01835,4843
DB01997,4843
DB02044,4843
DB02207,4843
DB02234,4843
DB02462,4843
DB02533,4843
DB02539,4843
DB02644,4843
DB02692,4843
DB03014,4843
DB03100,4843
DB03144,4843
DB03271,4843
DB03449,4843
DB03953,4843
DB04400,4843
DB04534,4843
DB06879,4843
DB06916,4843
DB07002,4843
DB07003,4843
DB07007,4843
DB07008,4843
DB07011,4843
DB07029,4843
DB07306,4843
DB07318,4843
DB07388,4843
DB07389,4843
DB07405,4843
DB08214,4843
DB08750,4843
DB08814,4843
DB00157,3294
DB00114,5836
DB00131,5836
DB01696,5836
DB02089,5836
DB02320,5836
DB02379,5836
DB03288,5836
DB03744,5836
DB04522,5836
DB07315,5836
DB07395,5836
DB07396,5836
DB07968,5836
DB00157,23530
DB01763,23530
DB03461,23530
DB00157,128
DB01907,128
DB03704,128
DB04153,128
DB00116,275
DB00157,275
DB04789,275
DB00157,3419
DB00568,8911
DB00617,8911
DB00661,8911
DB00909,8911
DB01388,8911
DB04841,8911
DB00201,134
DB00277,134
DB00640,134
DB00651,134
DB00806,134
DB00996,134
DB01223,134
DB01303,134
DB01412,134
DB04932,134
DB00171,25
DB00619,25
DB01254,25
DB03878,25
DB04868,25
DB07831,25
DB08043,25
DB08231,25
DB08339,25
DB08350,25
DB08583,25
DB00043,2205
DB00895,2205
DB02944,2205
DB00055,2157
DB00100,2157
DB00154,5742
DB00159,5742
DB00244,5742
DB00316,5742
DB00328,5742
DB00350,5742
DB00461,5742
DB00465,5742
DB00469,5742
DB00500,5742
DB00554,5742
DB00573,5742
DB00586,5742
DB00605,5742
DB00711,5742
DB00712,5742
DB00749,5742
DB00784,5742
DB00788,5742
DB00795,5742
DB00812,5742
DB00814,5742
DB00821,5742
DB00861,5742
DB00870,5742
DB00936,5742
DB00939,5742
DB00945,5742
DB00963,5742
DB00991,5742
DB01009,5742
DB01014,5742
DB01050,5742
DB01283,5742
DB01294,5742
DB01397,5742
DB01398,5742
DB01399,5742
DB01401,5742
DB01419,5742
DB01435,5742
DB01600,5742
DB01837,5742
DB01892,5742
DB02047,5742
DB02110,5742
DB02198,5742
DB02266,5742
DB02379,5742
DB02687,5742
DB02709,5742
DB02773,5742
DB02944,5742
DB03014,5742
DB03667,5742
DB03752,5742
DB03753,5742
DB03783,5742
DB04552,5742
DB04557,5742
DB04817,5742
DB06725,5742
DB06802,5742
DB07981,5742
DB07983,5742
DB07984,5742
DB08814,5742
DB00171,157
DB00246,1812
DB00248,1812
DB00268,1812
DB00334,1812
DB00353,1812
DB00363,1812
DB00372,1812
DB00397,1812
DB00408,1812
DB00413,1812
DB00420,1812
DB00477,1812
DB00502,1812
DB00508,1812
DB00543,1812
DB00589,1812
DB00623,1812
DB00679,1812
DB00714,1812
DB00726,1812
DB00734,1812
DB00777,1812
DB00800,1812
DB00805,1812
DB00850,1812
DB00875,1812
DB00988,1812
DB01038,1812
DB01063,1812
DB01186,1812
DB01200,1812
DB01224,1812
DB01235,1812
DB01238,1812
DB01239,1812
DB01267,1812
DB01287,1812
DB01403,1812
DB01608,1812
DB01614,1812
DB01621,1812
DB01622,1812
DB01623,1812
DB01624,1812
DB05271,1812
DB01099,7298
DB00398,2324
DB01268,2324
DB00384,6338
DB00594,6338
DB00048,1277
DB00309,81027
DB01229,81027
DB01248,81027
DB01394,81027
DB01873,81027
DB03010,81027
DB06772,81027
DB00157,4731
DB00120,10667
DB01268,2321
DB07288,2321
DB00157,1717
DB00162,10901
DB00030,3643
DB00046,3643
DB00047,3643
DB00071,3643
DB01277,3643
DB01306,3643
DB01307,3643
DB01309,3643
DB03909,3643
DB08513,3643
DB00138,1497
DB00398,5894
DB00157,4728
DB00120,2193
DB00055,2153
DB04558,2153
DB00147,8566
DB00165,8566
DB03431,8566
DB03909,8566
DB04770,8566
DB04776,8566
DB00559,1910
DB06268,1910
DB00157,50814
DB00185,1131
DB00193,1131
DB00202,1131
DB00246,1131
DB00280,1131
DB00321,1131
DB00332,1131
DB00334,1131
DB00340,1131
DB00342,1131
DB00363,1131
DB00376,1131
DB00383,1131
DB00387,1131
DB00420,1131
DB00424,1131
DB00434,1131
DB00458,1131
DB00462,1131
DB00496,1131
DB00505,1131
DB00517,1131
DB00540,1131
DB00572,1131
DB00622,1131
DB00715,1131
DB00725,1131
DB00729,1131
DB00747,1131
DB00767,1131
DB00777,1131
DB00785,1131
DB00809,1131
DB00835,1131
DB00934,1131
DB01036,1131
DB01062,1131
DB01069,1131
DB01085,1131
DB01142,1131
DB01151,1131
DB01224,1131
DB01226,1131
DB01231,1131
DB01238,1131
DB01239,1131
DB01337,1131
DB01338,1131
DB01403,1131
DB01409,1131
DB01591,1131
DB01625,1131
DB04843,1131
DB06702,1131
DB06709,1131
DB00119,5313
DB02726,5313
DB04551,5313
DB00001,2147
DB00006,2147
DB00055,2147
DB00100,2147
DB00170,2147
DB00278,2147
DB01123,2147
DB01766,2147
DB01767,2147
DB02193,2147
DB02351,2147
DB02723,2147
DB03136,2147
DB03159,2147
DB03847,2147
DB03865,2147
DB04136,2147
DB04591,2147
DB04697,2147
DB04722,2147
DB04771,2147
DB04772,2147
DB04786,2147
DB04898,2147
DB06695,2147
DB06838,2147
DB06841,2147
DB06845,2147
DB06850,2147
DB06853,2147
DB06854,2147
DB06858,2147
DB06859,2147
DB06861,2147
DB06865,2147
DB06866,2147
DB06868,2147
DB06869,2147
DB06878,2147
DB06911,2147
DB06919,2147
DB06929,2147
DB06936,2147
DB06942,2147
DB06947,2147
DB06996,2147
DB07005,2147
DB07016,2147
DB07027,2147
DB07083,2147
DB07088,2147
DB07091,2147
DB07095,2147
DB07105,2147
DB07120,2147
DB07128,2147
DB07131,2147
DB07133,2147
DB07143,2147
DB07165,2147
DB07190,2147
DB07211,2147
DB07277,2147
DB07278,2147
DB07279,2147
DB07353,2147
DB07366,2147
DB07376,2147
DB07400,2147
DB07440,2147
DB07461,2147
DB07508,2147
DB07515,2147
DB07521,2147
DB07522,2147
DB07527,2147
DB07548,2147
DB07549,2147
DB07550,2147
DB07639,2147
DB07658,2147
DB07659,2147
DB07660,2147
DB07665,2147
DB07718,2147
DB07741,2147
DB07796,2147
DB07809,2147
DB07897,2147
DB07934,2147
DB07944,2147
DB07946,2147
DB08061,2147
DB08062,2147
DB08152,2147
DB08187,2147
DB08254,2147
DB08422,2147
DB08546,2147
DB08624,2147
DB00895,2207
DB00855,210
DB02068,210
DB02239,210
DB02260,210
DB02272,210
DB02878,210
DB04560,210
DB04781,210
DB00157,3283
DB01108,3283
DB01536,3283
DB00145,2743
DB00431,2743
DB00558,4663
DB00157,3284
DB01108,3284
DB00126,5033
DB00139,5033
DB00172,5033
DB01275,5033
DB00470,1268
DB00486,1268
DB06155,1268
DB00177,185
DB00275,185
DB00678,185
DB00796,185
DB00876,185
DB00966,185
DB01029,185
DB01342,185
DB01347,185
DB01349,185
DB00133,6301
DB00297,5731
DB00429,5731
DB00770,5731
DB00905,5731
DB00917,5731
DB01088,5731
DB00157,1737
DB03758,1737
DB03760,1737
DB00073,931
DB00078,931
DB00081,931
DB00155,4842
DB01821,4842
DB01942,4842
DB01997,4842
DB02027,4842
DB02044,4842
DB02077,4842
DB02143,4842
DB02644,4842
DB02692,4842
DB02727,4842
DB02944,4842
DB02991,4842
DB03014,4842
DB03144,4842
DB03147,4842
DB03247,4842
DB03449,4842
DB03461,4842
DB03707,4842
DB03710,4842
DB03892,4842
DB04223,4842
DB08018,4842
DB08019,4842
DB00157,3945
DB01907,3945
DB02401,3945
DB03940,3945
DB00795,38
DB00636,5465
DB01039,5465
DB01241,5465
DB01393,5465
DB01890,5465
DB07215,5465
DB07724,5465
DB08483,5465
DB00121,64087
DB00142,10157
DB00157,10157
DB02338,10157
DB04207,10157
DB00755,190
DB01234,190
DB00052,2690
DB00082,2690
DB00163,284904
DB00993,3251
DB01033,3251
DB01632,3251
DB02212,3251
DB02309,3251
DB03153,3251
DB04356,3251
DB00210,6257
DB00307,6257
DB00459,6257
DB00523,6257
DB00755,6257
DB00799,6257
DB00926,6257
DB01941,6257
DB07080,6257
DB07929,6257
DB08175,6257
DB00114,51380
DB00151,51380
DB00157,4705
DB00148,1152
DB00087,1043
DB00604,3360
DB00904,3360
DB01079,3360
DB01233,3360
DB08810,3360
DB00893,2512
DB02285,2512
DB00117,3034
DB00126,5351
DB00139,5351
DB00119,5315
DB01733,5315
DB02726,5315
DB07628,5315
DB07692,5315
DB07697,5315
DB00157,4725
DB00204,3757
DB00276,3757
DB00308,3757
DB00342,3757
DB00457,3757
DB00489,3757
DB00590,3757
DB00604,3757
DB00637,3757
DB00661,3757
DB00679,3757
DB00908,3757
DB01100,3757
DB01110,3757
DB01118,3757
DB01136,3757
DB01162,3757
DB01182,3757
DB01218,3757
DB06144,3757
DB00762,116447
DB01030,116447
