DCC_ID	Name	CAS_Number	BindingDB	ChEBI	DrugBank	KEGG Compound	KEGG Drug	PDB	PharmGKB	PubChem Compound	PubChem Substance
DCC1838	Methyclothiazide	CAS:135-07-9	null	null	DB00232	null	D00656	null	null	null	7847722
DCC0413	Garenoxacin	CAS:194804-75-6	null	null	null	null	D02540	null	null	124093	null
DCC0520	Betaine	CAS:107-43-7	null	null	DB01494	null	D07523	null	null	247	null
DCC0639	Atrasentan	CAS:173937-91-2	null	null	null	null	D03009	null	null	17397165	null
DCC0029	Lovastatin	CAS:75330-75-5	null	40303	DB00227	C07074	D00359	803	PA450272	53232	46508223
DCC0030	Nevirapine	CAS:129618-40-2	1434	63613	DB00238	C07263	D00435	NVP	PA450616	4463	46506789
DCC0031	Butalbital	CAS:77-26-9	null	102524	DB00241	null	null	null	PA448695	2481	46505876
DCC0032	Phenytoin	CAS:57-41-0	null	8107	DB00252	C07443	D00512	null	PA450947	1775	46508847
DCC0033	Clotrimazole	CAS:23593-75-1	31774	3764	DB00257	C06922	D00282	null	PA449057	2812	46507927
DCC0035	Sulfisoxazole	CAS:127-69-5	50034452	102484	DB00263	C07318	D00450	null	PA164748964	5344	46505342
DCC0036	Metoprolol	CAS:37350-58-6	25756	6904	DB00264	C07202	D02358	null	PA450480	4171	46506211
DCC0037	Topiramate	CAS:97240-79-4	10887	null	DB00273	C07502	D00537	null	PA451728	5284627	46508334
DCC0034	Cycloserine	CAS:68-41-7	50016698	40009	DB00260	C06682	null	null	PA164764600	null	null
DCC0038	Olmesartan	CAS:144689-63-4	null	48416	DB00275	null	D01204	null	PA164742950	null	null
DCC0039	Theophylline	CAS:58-55-9	10847	28177	DB00277	C07130	D00371	TEP	PA451647	2153	46505949
DCC0040	Lidocaine	CAS:137-58-6	null	6456	DB00281	null	D00358	null	PA450226	3676	46505060
DCC0041	Clemastine	CAS:15686-51-8	50253157	3738	DB00283	null	D00666	null	PA164776997	26987	46506492
DCC0042	Etonogestrel	CAS:54048-10-1	null	50777	DB00294	null	null	null	PA164771231	null	null
DCC0054	Nitroprusside	CAS:15078-28-1	null	7596	DB00325	C07269	null	null	PA451406	11963622	46508965
DCC0055	Indomethacin	CAS:53-86-1	17638	5918	DB00328	C01926	D00141	null	PA449982	3715	46508291
DCC0056	Ethambutol	CAS:74-55-5	50204422	4877	DB00330	C06984	null	null	PA164784021	null	null
DCC0057	Metformin	CAS:657-24-9	null	6801	DB00331	C07151	D04966	null	PA450395	4091	46507752
DCC0058	Ipratropium	CAS:60205-81-4	null	46659	DB00332	C07052	null	null	PA450082	null	null
DCC0059	Olanzapine	CAS:132539-06-1	35254	7735	DB00334	C07322	D00454	null	PA450688	null	null
DCC0060	Atenolol	CAS:29122-68-7	25753	2904	DB00335	null	D00235	null	PA448499	2249	46506915
DCC0061	Omeprazole	CAS:73590-58-6	50241343	7772	DB00338	C07324	D00455	null	PA450704	4594	46509065
DCC0062	Pyrazinamide	CAS:98-96-4	null	8656	DB00339	C01956	D00144	null	PA451182	1046	46507478
DCC0063	Cetirizine	CAS:83881-51-0	22890	3561	DB00341	C07778	null	null	PA448905	2678	46508368
DCC0064	Diltiazem	CAS:42399-41-7	50004704	101278	DB00343	C06958	null	null	PA449334	39186	46505667
DCC0065	Aztreonam	CAS:78110-38-0	null	161680	DB00355	C06840	D00240	AZR	PA448523	null	null
DCC0043	Morphine	CAS:57-27-2	null	17303	DB00295	C01516	D00842	MOI	PA450550	5288826	46505161
DCC0044	Bupivacaine	CAS:2180-92-9	null	3215	DB00297	C07529	null	null	PA135057240	2474	46506768
DCC0045	Tenofovir	CAS:147127-20-6	null	63625	DB00300	null	D01982	TFO	PA10204	464205	46508131
DCC0046	Mitomycin	CAS:50-07-7	null	27504	DB00305	C06681	D00208	null	PA450524	5746	46508353
DCC0047	Chlorthalidone	CAS:77-36-1	25900	3654	DB00310	null	D00272	null	PA448970	2732	46505541
DCC0048	Valproic Acid	CAS:99-66-1	null	9926	DB00313	C07185	D00399	null	PA451846	3121	46505925
DCC0049	Acetaminophen	CAS:103-90-2	26197	2386	DB00316	C06804	D00217	null	PA448015	1983	46506142
DCC0050	Gefitinib	CAS:184475-35-2	5447	49668	DB00317	null	D01977	IRE	PA131301952	123631	46508649
DCC0051	Codeine	CAS:76-57-3	null	16714	DB00318	C06174	D03580	null	PA449088	5284371	46507764
DCC0052	Piperacillin	CAS:66258-76-2	null	8232	DB00319	C07361	D00466	null	PA450975	null	null
DCC0053	Amitriptyline	CAS:50-48-6	null	2666	DB00321	C06824	null	null	PA448385	2160	46508798
DCC0001	Cetuximab	CAS:205923-56-4	null	null	null	null	null	null	PA10040	null	null
DCC0002	Peginterferon alfa-2a	CAS:198153-51-4	null	null	DB00008	null	null	null	PA164749390	null	null
DCC0003	Peginterferon alfa-2b	CAS:99210-65-8	null	null	null	null	null	null	PA164784024	null	null
