DrugCombination_ID	Components_Name	Componets_ID
DC000348	Bismuth Subsalicylate; Metronidazole; Tetracycline	DCC0187/DCC0235/DCC0338
DC000349	Brimonidine; Timolol	DCC0072/DCC0106
DC000350	Betamethasone; Calcipotriol	DCC0095/DCC0358
DC000351	Betamethasone; Clotrimazole	DCC0033/DCC0095
DC000352	Cerulenin; Levodopa	DCC0274/DCC0326
DC000353	Chitosan; Heparin	DCC0296/DCC0466
DC000354	Brompheniramine; Dextromethorphan; Pseudoephedrine	DCC0116/DCC0210/DCC0214
DC000355	Budesonide; Formoterol	DCC0255/DCC0321
DC000356	Efavirenz; Tenofovir	DCC0045/DCC0150
DC000357	Efavirenz; Emtricitabine	DCC0150/DCC0225
DC000358	Citicoline; Nimodipine	DCC0076/DCC0470
DC000359	Bortezomib; Etoposide	DCC0016/DCC0191
DC000360	Dasatinib; Oxaliplatin	DCC0120/DCC0330
DC000361	Candesartan; Ramipril	DCC0015/DCC0198
DC000362	Docetaxel; Irinotecan	DCC0189/DCC0329
DC000363	Lopinavir; Saquinavir	DCC0324/DCC0351
DC000364	Clioquinol; Docosahexaenoic acid; GW6471	DCC0368/DCC0428/DCC0453
DC000365	Daptomycin; Rifampin	DCC0010/DCC0280
DC000366	Gemcitabine; Gimeracil; Potassium oxonate; Tegafur	DCC0094/DCC0403/DCC0416/DCC0439
DC000367	BQ-123; Enalapril	DCC0137/DCC0392
DC000368	Cisplatin; Gimeracil; Potassium oxonate; Tegafur	DCC0117/DCC0403/DCC0416/DCC0439
DC000369	Ampicillin; Daptomycin	DCC0010/DCC0083
DC000370	Bevacizumab; Erlotinib	DCC0012/DCC0122
DC000371	Gentamicin; Vancomycin	DCC0115/DCC0199
DC000372	Bortezomib; Cytarabine; Dexamethasone	DCC0016/DCC0256/DCC0325
DC000373	Paclitaxel; Peloruside A	DCC0323/DCC0471
DC000374	Paclitaxel; Trabectedin	DCC0323/DCC0369
DC000375	Discodermolide; Paclitaxel	DCC0323/DCC0389
DC000376	Gimeracil; Irinotecan; Potassium oxonate; Tegafur	DCC0189/DCC0403/DCC0416/DCC0439
DC000377	Gimeracil; Mitomycin; Potassium oxonate; Tegafur	DCC0046/DCC0403/DCC0416/DCC0439
DC000378	Doxorubicin; Gimeracil; Potassium oxonate; Tegafur	DCC0259/DCC0403/DCC0416/DCC0439
DC000379	Amphotericin B; Anidulafungin	DCC0068/DCC0170
DC000380	Gimeracil; Paclitaxel; Potassium oxonate; Tegafur	DCC0323/DCC0403/DCC0416/DCC0439
DC000381	Artemisinin; Curcumin	DCC0431/DCC0454
DC000382	Fluorouracil; SC144	DCC0128/DCC0465
DC000383	Oxaliplatin; SC144	DCC0120/DCC0465
DC000384	Cisplatin; Gemcitabine	DCC0094/DCC0117
DC000385	Mefloquine; Methylene blue	DCC0066/DCC0452
DC000386	Aldesleukin; IL-27	DCC0006/DCC0482
DC000387	Tretinoin; Trichostatin	DCC0186/DCC0451
DC000388	Meropenem; Tobramycin	DCC0172/DCC0188
DC000389	Propofol; Sevoflurane	DCC0206/DCC0327
DC000390	Cisplatin; Lexatumumab	DCC0117/DCC0461
DC000391	Ampicillin; Imipenem	DCC0083/DCC0350
DC000392	CP55940; Dexmedetomidine	DCC0154/DCC0459
DC000393	CP55940; Morphine	DCC0043/DCC0459
DC000394	Diazoxide; Nitroprusside	DCC0054/DCC0300
DC000395	Diazoxide; Dibutyryl-cGMP	DCC0300/DCC0441
DC000396	Lopinavir; Rifampin; Ritonavir	DCC0114/DCC0280/DCC0351
DC000397	Abacavir; Peginterferon alfa-2a; Ribavirin	DCC0002/DCC0203/DCC0281
DC000398	Peginterferon alfa-2b; Ribavirin	DCC0003/DCC0203
DC000399	Peginterferon alfa-2a; Ribavirin	DCC0002/DCC0203
DC000400	Rifampin; Ritonavir; Saquinavir	DCC0114/DCC0280/DCC0324
DC000401	Lonafarnib; Paclitaxel	DCC0323/DCC0412
DC000402	Phenytoin; Valproic Acid	DCC0032/DCC0048
DC000403	Abacavir; Efavirenz; Isoniazid; Pyrazinamide; Rifampin; Zidovudine	DCC0062/DCC0111/DCC0150/DCC0242/DCC0280/DCC0281
DC000404	Paclitaxel; Tubacin	DCC0323/DCC0446
DC000405	Ethosuximide; Valproic Acid	DCC0048/DCC0141
DC000406	Ethambutol; Isoniazid; Pyrazinamide; Rifampin	DCC0056/DCC0062/DCC0242/DCC0280
DC000407	17-DMAG; Arsenic trioxide	DCC0308/DCC0363
