Unnamed: 0,Drug1_ID,Drug2_ID,Label,y_preds_6,y_preds_8,y_preds_10,p_ave
0,8404,1503,0,6.52E-07,1.99E-06,1.79E-06,1.48E-06
1,DB00657,DB05245,1,0.99925315,0.7763306,0.0953345,0.623639417
2,8555,2262,0,1.22E-06,1.26E-07,0.000122488,4.13E-05
3,3237,4032,0,4.55E-05,0.01825592,0.22437382,0.080891747
4,DB01087,DB09065,1,0.99976474,0.99976134,0.9990566,0.99952756
5,DB00752,DB00887,1,0.99877757,0.9952253,0.9811881,0.991730323
6,488,3816,0,3.85E-06,8.63E-06,0.000426084,0.000146188
7,DB00613,DB00796,1,0.9979465,0.97535646,0.9484096,0.973904187
8,DB00607,DB09143,1,0.9970123,0.89501137,0.6182174,0.836747023
9,8612,6823,0,1.10E-06,2.46E-05,1.58E-05,1.38E-05
10,DB01609,DB09071,1,0.9999555,0.9989862,0.99906373,0.999335143
11,8609,3949,0,6.33E-07,7.66E-08,1.27E-05,4.47E-06
12,DB00561,DB00723,1,0.9997312,0.998709,0.99941313,0.999284443
13,DB00333,DB00933,1,0.9996686,0.99943316,0.99585134,0.9983177
14,DB00686,DB01009,1,0.98452353,0.99742377,0.9921011,0.991349467
15,DB00202,DB00798,1,0.986308,0.9975928,0.99832773,0.994076177
16,DB01104,DB01233,1,0.9955801,0.99936235,0.9978222,0.997588217
17,8290,1542,0,0.034648508,3.33E-05,6.63E-05,0.011582703
18,1996,5016,0,0.28487533,0.8694955,0.82557833,0.659983053
19,DB00191,DB00486,1,0.9999044,0.99875593,0.9997799,0.999480077
20,DB00243,DB08865,1,0.9999022,0.99974,0.99828047,0.999307557
21,131,6125,0,6.53E-07,6.70E-07,1.84E-05,6.57E-06
22,6466,5257,0,0.5455541,0.6825296,0.6444475,0.624177067
23,DB00398,DB00564,1,0.9988359,0.9893768,0.997656,0.995289567
24,DB00615,DB00619,1,0.9959498,0.99851227,0.9971339,0.997198657
25,DB00559,DB01591,1,0.99878967,0.99974847,0.9998187,0.99945228
26,DB00956,DB01320,1,0.9999473,0.99966776,0.9997109,0.99977532
27,DB01174,DB09123,1,0.9992832,0.999647,0.9990769,0.9993357
28,DB00413,DB01069,1,0.9999697,0.9994401,0.99993277,0.999780857
29,6905,5502,0,0.001466304,0.94395494,0.06184721,0.335756151
30,833,6907,0,0.001247764,0.3999529,0.011700362,0.137633675
31,2292,154,0,5.21E-05,4.52E-06,0.004131109,0.00139591
32,DB00349,DB00413,1,0.9999684,0.9995292,0.9993819,0.9996265
33,5557,4253,0,0.000986695,0.006439149,3.99E-06,0.002476611
34,1043,2528,0,2.67E-06,1.53E-07,1.33E-06,1.38E-06
35,5634,9272,0,3.06E-05,0.014405668,0.002506286,0.005647518
36,DB00603,DB01263,1,0.9990529,0.9990066,0.9973655,0.998475
37,7219,4665,0,1.09E-06,4.84E-07,2.00E-06,1.19E-06
38,247,930,0,2.65E-06,2.75E-07,7.61E-06,3.51E-06
39,1999,1454,0,0.34908706,0.958627,0.9369359,0.748216653
40,DB01026,DB01609,1,0.9999019,0.99982715,0.99799097,0.999240007
41,DB00316,DB01354,1,0.9991934,0.9990515,0.9982324,0.998825767
42,DB00277,DB01359,1,0.9968939,0.99977183,0.99236625,0.996343993
43,DB01100,DB06288,1,0.9998672,0.9990032,0.9997375,0.999535967
44,DB00387,DB09300,1,0.9995235,0.99916816,0.9919448,0.99687882
45,DB01601,DB09123,1,0.9962147,0.9447973,0.99941444,0.980142147
46,3809,6257,0,6.95E-06,0.000548571,2.36E-06,0.00018596
47,630,2028,0,0.98803914,0.9979962,0.96691793,0.984317757
48,DB00310,DB00497,1,0.9993,0.99920243,0.9994493,0.999317243
49,6082,2383,0,6.91E-07,2.32E-05,3.46E-06,9.12E-06
50,DB00708,DB01037,1,0.9997153,0.99953187,0.9993442,0.999530457
51,252,8589,0,0.001760572,0.034804225,2.44E-05,0.012196399
52,DB00752,DB01001,1,0.99904776,0.9987321,0.9939258,0.99723522
53,2336,5721,0,6.41E-07,7.61E-07,6.58E-06,2.66E-06
54,DB01195,DB01390,1,0.7941897,0.292389,0.01064682,0.36574184
55,1747,4027,0,9.39E-07,9.65E-07,1.43E-06,1.11E-06
56,DB01083,DB06218,1,0.91618586,0.9980314,0.9940311,0.96941612
57,2421,9640,0,0.006929696,3.48E-05,0.000168622,0.002377706
58,DB01106,DB01173,1,0.9958241,0.9940225,0.9884372,0.992761267
59,4105,3821,0,0.54540724,0.14899427,0.99650156,0.563634357
60,7347,5573,0,2.19E-07,4.18E-07,4.70E-07,3.69E-07
61,DB00912,DB01067,1,0.9974241,0.99787426,0.9946084,0.996635587
62,DB01656,DB06772,1,0.9838107,0.99594593,0.99809927,0.992618633
63,DB01050,DB08976,1,0.99681556,0.99968565,0.99635065,0.997617287
64,DB00503,DB01087,1,0.9993074,0.9997878,0.99940526,0.999500153
65,DB00489,DB00708,1,0.9990535,0.99697447,0.9992205,0.998416157
66,DB00321,DB00363,1,0.99999255,0.9998534,0.99995565,0.999933867
67,3223,6703,0,0.003409475,0.9834969,0.048399746,0.34510204
68,4460,6091,0,6.61E-06,3.76E-06,8.14E-07,3.73E-06
69,611,615,0,2.32E-05,1.35E-07,2.05E-05,1.46E-05
70,7305,8122,0,5.51E-06,0.000143707,3.15E-05,6.02E-05
71,DB00310,DB01356,1,0.69386476,0.9979776,0.93466115,0.87550117
72,5093,7378,0,3.03E-07,8.26E-08,1.09E-06,4.92E-07
73,4920,9166,0,6.01E-07,0.022108078,0.005323529,0.009144069
74,2135,6542,0,1.20E-05,0.036034167,0.00029999,0.012115386
75,DB00564,DB00872,1,0.9999574,0.99970096,0.99945533,0.999704563
76,6578,8241,0,0.002799869,0.003823131,0.001605511,0.002742837
77,8442,5472,0,6.24E-07,1.27E-06,3.23E-07,7.39E-07
78,DB01224,DB01263,1,0.9998405,0.9985426,0.9994872,0.9992901
79,DB00422,DB00695,1,0.99992347,0.99956894,0.9990839,0.999525437
80,DB01039,DB01586,1,0.9364227,0.9818866,0.9512278,0.956512367
81,DB00492,DB06212,1,0.999326,0.989731,0.9812627,0.990106567
