n	gene_name
0	HTR1A
1	PRL
2	CYP3A4
3	PLCB1
4	POMC
5	S100B
6	AASS
7	ABCA1
8	ABCA8A
9	ABCC2
10	ABCF1
11	ABCG2
12	ABHD14B
13	ABTB1
14	ACAA2
15	ACACA
16	ACBD4
17	ACLY
18	ACSF2
19	ACSL3
20	ACSL4
21	ACSL5
22	ACTB
23	ACTG1
24	ACTN1
25	ACY1
26	ADAMTSL4
27	ADCY6
28	ADIPOR2
29	ADRA1A
30	ADRA1D
31	AGMAT
32	AHCY
33	AIF1
34	AIG1
35	AK4
36	AKAP8L
37	AKR1C14
38	AKR7A3
39	ALDH1B1
40	ALKBH7
41	ANKH
42	ANKHD1-EIF4EBP3
43	ANKRD46
44	ANTXR2
45	ANXA3
46	ANXA5
47	APOB
48	APON
49	APOO
50	APOOL
51	APP
52	ARHGAP24
53	ARHGDIB
54	ARL1
55	ARL4A
56	ARL6IP1
57	ARMT1
58	ARSB
59	AS3MT
60	ASAP2
61	ASGR1
62	ASPG
63	ATF5
64	ATG2B
65	ATL2
66	ATP11C
67	ATP6V0B
68	ATP6V0E1
69	ATP6V1G1
70	AXL
71	AZIN1
72	B4GALNT1
73	BAIAP2L1
74	BGN
75	BHLHE40
76	BLVRB
77	BNIP3
78	BOLA1
79	BPGM
80	BTG2
81	C1QB
82	C6
83	C8G
84	CALD1
85	CALM1
86	CALM2
87	CALR
88	CAP1
89	CAR3
90	CAR5A
91	CASP3
92	CASP6
93	CASP7
94	CAT
95	CBR4
96	CCDC6
97	CCDC80
98	CCL6
99	CCNB2
100	CCND1
101	CD164
102	CD5L
103	CD68
104	CD74
105	CDC20
106	CDK1
107	CDKN2C
108	CDKN3
109	CEACAM1
110	CEACAM10
111	CEP20
112	CFL1
113	CGN
114	CHPT1
115	CHURC1
116	CKS2
117	CLEC4F
118	CLIC1
119	CLPB
120	CLTB
121	CMTM6
122	CNPPD1
123	CNR1
124	COBLL1
125	COL14A1
126	COL1A2
127	COL3A1
128	COMMD5
129	COPG1
130	CORO1C
131	COX14
132	COX7A2L
133	CPT1A
134	CPT2
135	CREM
136	CRY1
137	CSE1L
138	CSF1R
139	CSNK2A2
140	CSRP1
141	CTSD
142	CTSL
143	CTSS
144	CTSZ
145	CXCL11
146	CYBB
147	CYP27A1
148	CYP2C22
149	CYP2D4
150	CYP2D6
151	CYP2J3
152	CYP3A5
153	CYP3A9
154	CYP4A1
155	CYP4B1
156	CYP4F1
157	CYP4F4
158	CYP8B1
159	DAAM1
160	DAB2
161	DAPK1
162	DBI
163	DDC
164	DDHD1
165	DDX1
166	DDX58
167	DECR1
168	DEK
169	DEPTOR
170	DHRS7
171	DLD
172	DNAJB1
173	DNAJC9
174	DPM1
175	DPM3
176	DPYSL2
177	DTYMK
178	DUT
179	DYNLL1
180	DYNLT3
181	ECH1
182	ECHDC1
183	ECHDC3
184	ECI1
185	EDEM1
186	EFTUD2
187	EGR1
188	EHBP1
189	EI24
190	EIF3C
191	EIF3L
192	EIF4A2
193	EIF4B
194	ELOVL5
195	ELOVL6
196	ENPEP
197	EPHX1
198	ERG28
199	ERGIC1
200	ERP29
201	ETNK2
202	EWSR1
203	EXOSC5
204	FABP5
205	FADS1
206	FADS2
207	FAM111A
208	FAM126B
209	FAM98A
210	FASN
211	FAT1
212	FBXO31
213	FBXW2
214	FCGR2A
215	FCNA
216	FEZ2
217	FGA
218	FGFR2
219	FLCN
220	FMO3
221	FMO5
222	FOXA3
223	FOXO1
224	FSTL1
225	FTCD
226	FUS
227	FXYD1
228	G0S2
229	G6PD
230	GADD45G
231	GALNT1
232	GARS
233	GAS5
234	GBE1
235	GCDH
236	GCHFR
237	GCLC
238	GDE1
239	GDI2
240	GFM1
241	GGCX
242	GHR
243	GLDC
244	GLRX
245	GLYAT
246	GLYATL2
247	GNPNAT1
248	GPAM
249	GPD1
250	GPT
251	GSPT1
252	GSTP1
253	GSTT2
254	GULO
255	H1F0
256	H2AZ1
257	HACD2
258	HACD3
259	HACL1
260	HADHB
261	HAO1
262	HAT1
263	HAUS4
264	HBA1
265	HBA-A1
266	HECTD1
267	HERPUD1
268	HES1
269	HES6
270	HEXB
271	HHEX
272	HIBCH
273	HIGD2A
274	HLA-DMB
275	HMGB2
276	HMGN2
277	HMGN3
278	HNRNPA1
279	HNRNPA2B1
280	HNRNPM
281	HNRNPR
282	HPRT1
283	HSDL2
284	HSPA13
285	HSPA5
286	HTATSF1
287	HTR2A
288	HYAL3
289	IARS1
290	ICAM1
291	IFIT2
292	IFITM1
293	IGF1
294	IGFBP7
295	IK
296	IL6R
297	IMP3
298	INHBA
299	IP6K1
300	IPO9
301	IRF1
302	IRF7
303	IRGM
304	ITGA6
305	ITGB2
306	JAK1
307	JAM2
308	JPT2
309	JUN
310	JUP
311	KCTD5
312	KHDRBS1
313	KLF15
314	KLF9
315	KLHL24
316	KPNA2
317	KPNB1
318	KRT18
319	KYAT1
320	KYAT3
321	LACTB
322	LAMTOR2
323	LBP
324	LCMT1
325	LCP1
326	LEPROTL1
327	LETM1
328	LGALS3
329	LGALS5
330	LGALS9
331	LGALSL
332	LGMN
333	LIPC
334	LMAN1
335	LRAT
336	LRP11
337	LRRC59
338	LSM6
339	LTA4H
