Gene Symbol,gene_name,Direct Evidence,Inference Score
TNF,7124,marker/mechanism,598.05
IL1B,3553,marker/mechanism,545.57
IL6,3569,marker/mechanism,529.05
MAPK1,5594,,516.72
FOS,2353,marker/mechanism,509.8
MAPK3,5595,,509.29
CASP3,836,,500.84
AGT,183,marker/mechanism|therapeutic,500.1
NOS2,4843,marker/mechanism,490.48
CAT,847,marker/mechanism,481.71
REN,5972,marker/mechanism,451.42
BCL2,596,marker/mechanism,449.49
TGFB1,7040,marker/mechanism,434.94
RELA,5970,marker/mechanism,428.45
PTGS2,5743,marker/mechanism|therapeutic,425.76
BAX,581,,421.46
EDN1,1906,marker/mechanism,416.93
HMOX1,3162,marker/mechanism|therapeutic,407.78
SOD2,6648,marker/mechanism,407.66
VEGFA,7422,,407.4
CCL2,6347,marker/mechanism,398.57
NOS3,4846,marker/mechanism|therapeutic,392.12
JUN,3725,marker/mechanism,390.77
IL10,3586,,385.78
AKT1,207,,380.55
SOD1,6647,marker/mechanism|therapeutic,367.96
CXCL8,3576,,352.1
NPPA,4878,marker/mechanism|therapeutic,345.79
CYP3A4,1576,,344.44
ABCB1,5243,,336.31
NFKB1,4790,,335.66
BDNF,627,,334.53
IFNG,3458,,334.06
TP53,7157,marker/mechanism,327.53
MMP9,4318,marker/mechanism,324.52
CDKN1A,1026,,322.05
NFE2L2,4780,marker/mechanism,313.47
MMP2,4313,marker/mechanism,312.66
NFKBIA,4792,,311.39
CASP9,842,,309.9
GSK3B,2932,marker/mechanism,308.7
TH,7054,marker/mechanism,308.17
CREB1,1385,,306.54
PPARG,5468,marker/mechanism|therapeutic,303.88
FAS,355,,302.54
MPO,4353,,301.86
ALB,213,therapeutic,301.45
GPT,2875,,298.42
MAPK8,5599,,295.38
POMC,5443,marker/mechanism|therapeutic,294.62
COL1A1,1277,marker/mechanism,292.97
EGR1,1958,,292.71
SERPINE1,5054,marker/mechanism,290.11
ICAM1,3383,marker/mechanism,289.18
BCL2L1,598,,287.34
LEP,3952,marker/mechanism,285.06
SLC22A2,6582,,284.95
FN1,2335,marker/mechanism,284.76
NPPB,4879,marker/mechanism|therapeutic,282.15
DDIT3,1649,,282.09
NR3C1,2908,marker/mechanism,281.15
VCAM1,7412,marker/mechanism,278.42
CCND1,595,,275.01
ADIPOQ,9370,marker/mechanism,273.83
INS,3630,marker/mechanism|therapeutic,273.25
IGF1,3479,marker/mechanism|therapeutic,272.36
IL4,3565,,270.55
CYP1A2,1544,,269.7
STAT3,6774,,269.57
INS1,16333,,266.81
ACE,1636,marker/mechanism,266.35
SPP1,6696,,261.55
CYP1A1,1543,marker/mechanism,260.79
CASP8,841,,258.54
CYBB,1536,marker/mechanism,258.43
CTNNB1,1499,,258.11
MYC,4609,,258.09
ACTA2,59,,257.15
GPX1,2876,marker/mechanism,256.9
GSR,2936,,255.92
GFAP,2670,,255.91
LHB,3972,marker/mechanism,255.38
PRL,5617,,251.26
APP,351,,249.43
PPARGC1A,10891,,249.39
GCLC,2729,marker/mechanism,249.33
TIMP1,7076,marker/mechanism,247.63
NQO1,1728,,247.45
IL2,3558,,245.49
MAPK14,1432,,244.15
HSPA5,3309,,243.9
ACE2,59272,marker/mechanism|therapeutic,240.93
FGF2,2247,,240.56
IL1A,3552,,240.44
COL3A1,1281,marker/mechanism,240.28
CYP1B1,1545,,239.13
EGFR,1956,,238.92
