Gene Symbol,Gene ID,Interaction Count,Organism Count
AGT,183,26,3
TNF,7124,18,3
PPARG,5468,14,3
IL6,3569,11,3
CASP3,836,10,3
TJP1,7082,9,1
PTGS2,5743,8,3
AGTR1,185,7,3
NOS2,4843,7,2
ACE2,59272,6,2
NCF1,653361,6,2
PPARD,5467,6,2
AGTR1A,11607,5,2
MPO,4353,5,2
RELA,5970,5,2
TGFB1,7040,5,2
ABCB11,8647,4,1
ACE,1636,4,1
CACNA1G,8913,4,1
CACNA1H,8912,4,1
CYBA,1535,4,2
CYBB,1536,4,3
ICAM1,3383,4,3
NCF2,4688,4,2
NOS3,4846,4,1
OCLN,100506658,4,2
CCL2,6347,3,2
CD36,948,3,1
CXCL12,6387,3,1
MAS1,4142,3,2
MYLK,4638,3,1
NFKBIA,4792,3,1
NPPB,4879,3,2
SERPINE1,5054,3,2
SYP,6855,3,2
VEGFA,7422,3,2
ABCG1,9619,2,1
ACHE,43,2,1
ADIPOQ,9370,2,2
ALB,213,2,2
BAX,581,2,1
BDNF,627,2,1
CAT,847,2,1
FN1,2335,2,1
GDNF,2668,2,1
GFAP,2670,2,2
ICAM3,3385,2,1
IL10,3586,2,1
IL1B,3553,2,2
LEPR,3953,2,1
LIPE,3991,2,1
MAPK1,5594,2,2
MAPK14,1432,2,2
MAPK3,5595,2,2
OLR1,4973,2,1
REN,5972,2,1
SEMA3B,7869,2,1
SEMA3F,6405,2,1
SLC6A3,6531,2,1
SNCA,6622,2,1
TH,7054,2,1
TLR4,7099,2,1
UCP1,7350,2,1
UCP2,7351,2,1
UCP3,7352,2,1
AGTR1B,11608,1,1
AGTR2,186,1,0
AHR,196,1,1
ANG2,11731,1,1
ARG1,383,1,1
BCL2,596,1,1
CCL5,6352,1,1
CCR2,729230,1,1
CEBPB,1051,1,1
CRH,1392,1,1
CRP,1401,1,1
CXCL8,3576,1,1
CYCS,54205,1,1
CYP2J2,1573,1,1
DDIT3,1649,1,1
EDN1,1906,1,1
EDNRA,1909,1,1
EDNRB,1910,1,1
FASL,14103,1,1
FASLG,356,1,1
FOS,2353,1,1
GGT1,2678,1,1
GPT,2875,1,1
HGF,3082,1,1
HSPA5,3309,1,1
INS,3630,1,1
INS1,16333,1,1
IRAK1,3654,1,1
MAPKAPK2,9261,1,1
MIR146A,406938,1,1
MIR146B,574447,1,1
MMP2,4313,1,1
NFKB1,4790,1,1
NOX4,50507,1,1
NPHS1,4868,1,1
PLAU,5328,1,1
PPARGC1A,10891,1,1
PRKACA,5566,1,1
PTH1R,5745,1,1
PTHLH,5744,1,1
SCN5A,6331,1,1
SLC18A2,6571,1,1
SLC22A2,6582,1,1
SLC22A8,9376,1,0
TRAF6,7189,1,1
VCAM1,7412,1,1
