SYMBOL	gene_name
AGT	183
TNF	7124
PPARG	5468
IL6	3569
CASP3	836
TJP1	7082
PTGS2	5743
AGTR1	185
NOS2	4843
ACE2	59272
NCF1	653361
PPARD	5467
MPO	4353
RELA	5970
TGFB1	7040
ABCB11	8647
ACE	1636
CACNA1G	8913
CACNA1H	8912
CYBA	1535
CYBB	1536
ICAM1	3383
NCF2	4688
NOS3	4846
OCLN	100506658
CCL2	6347
CD36	948
CXCL12	6387
MAS1	4142
MYLK	4638
NFKBIA	4792
NPPB	4879
SERPINE1	5054
SYP	6855
VEGFA	7422
ABCG1	9619
ACHE	43
ADIPOQ	9370
ALB	213
BAX	581
BDNF	627
CAT	847
FN1	2335
GDNF	2668
GFAP	2670
ICAM3	3385
IL10	3586
IL1B	3553
LEPR	3953
LIPE	3991
MAPK1	5594
MAPK14	1432
MAPK3	5595
OLR1	4973
REN	5972
SEMA3B	7869
SEMA3F	6405
SLC6A3	6531
SNCA	6622
TH	7054
TLR4	7099
UCP1	7350
UCP2	7351
UCP3	7352
AGTR2	186
AHR	196
ARG1	383
BCL2	596
CCL5	6352
CCR2	729230
CEBPB	1051
CRH	1392
CRP	1401
CXCL8	3576
CYCS	54205
CYP2J2	1573
DDIT3	1649
EDN1	1906
EDNRA	1909
EDNRB	1910
FASLG	356
FOS	2353
GGT1	2678
GPT	2875
HGF	3082
HSPA5	3309
INS	3630
IRAK1	3654
MAPKAPK2	9261
MIR146A	406938
MIR146B	574447
MMP2	4313
NFKB1	4790
NOX4	50507
NPHS1	4868
PLAU	5328
PPARGC1A	10891
PRKACA	5566
PTH1R	5745
PTHLH	5744
SCN5A	6331
SLC18A2	6571
SLC22A2	6582
SLC22A8	9376
TRAF6	7189
VCAM1	7412
